HS|"id","nm"
AI|"11.01.01","Bakongan"
BI|"11.01.02","Kluet Utara"
CI|"11.01.03","Kluet Selatan"
DI|"11.01.04","Labuhanhaji"
EI|"11.01.05","Meukek"
FI|"11.01.06","Samadua"
GI|"11.01.07","Sawang"
HI|"11.01.08","Tapaktuan"
II|"11.01.09","Trumon"
GJ|"11.01.10","Pasie Raja"
HJ|"11.01.11","Labuhanhaji Timur"
IJ|"11.01.12","Labuhanhaji Barat"
JJ|"11.01.13","Kluet Tengah"
KJ|"11.01.14","Kluet Timur"
LJ|"11.01.15","Bakongan Timur"
MJ|"11.01.16","Trumon Timur"
NJ|"11.01.17","Kota Bahagia"
OJ|"11.01.18","Trumon Tengah"
FM|"11.02.01","Lawe Alas"
GM|"11.02.02","Lawe Sigala-Gala"
HM|"11.02.03","Bambel"
IM|"11.02.04","Babussalam"
JM|"11.02.05","Badar"
KM|"11.02.06","Babul Makmur"
LM|"11.02.07","Darul Hasanah"
MM|"11.02.08","Lawe Bulan"
NM|"11.02.09","Bukit Tusam"
LN|"11.02.10","Semadam"
MN|"11.02.11","Babul Rahmah"
NN|"11.02.12","Ketambe"
ON|"11.02.13","Deleng Pokhkisen"
PN|"11.02.14","Lawe Sumur"
QN|"11.02.15","Tanoh Alas"
RN|"11.02.16","Leuser"
KQ|"11.03.01","Darul Aman"
LQ|"11.03.02","Julok"
MQ|"11.03.03","Idi Rayeuk"
NQ|"11.03.04","Birem Bayeun"
OQ|"11.03.05","Serbajadi"
PQ|"11.03.06","Nurussalam"
QQ|"11.03.07","Peureulak"
RQ|"11.03.08","Rantau Selamat"
SQ|"11.03.09","Simpang Ulim"
QR|"11.03.10","Ranto Peureulak"
RR|"11.03.11","Pante Bidari"
SR|"11.03.12","Madat"
TR|"11.03.13","Indra Makmu"
UR|"11.03.14","Idi Tunong"
VR|"11.03.15","Banda Alam"
WR|"11.03.16","Peudawa"
XR|"11.03.17","Peureulak Timur"
YR|"11.03.18","Peureulak Barat"
ZR|"11.03.19","Sungai Raya"
XS|"11.03.20","Simpang Jernih"
YS|"11.03.21","Darul Ihsan"
ZS|"11.03.22","Darul Falah"
AT|"11.03.23","Idi Timur"
BT|"11.03.24","Peunaron"
PU|"11.04.01","Linge"
QU|"11.04.02","Silih Nara"
RU|"11.04.03","Bebesen"
VU|"11.04.07","Pegasing"
WU|"11.04.08","Bintang"
VV|"11.04.10","Ketol"
WV|"11.04.11","Kebayakan"
XV|"11.04.12","Kute Panang"
YV|"11.04.13","Celala"
CW|"11.04.17","Laut Tawar"
DW|"11.04.18","Atu Lintang"
EW|"11.04.19","Jagong Jeget"
CX|"11.04.20","Bies"
DX|"11.04.21","Rusip Antara"
UY|"11.05.01","Johan Pahlawan"
VY|"11.05.02","Kaway XVI"
WY|"11.05.03","Sungai Mas"
XY|"11.05.04","Woyla"
YY|"11.05.05","Samatiga"
ZY|"11.05.06","Bubon"
AZ|"11.05.07","Arongan Lambalek"
BZ|"11.05.08","Pante Ceureumen"
CZ|"11.05.09","Meureubo"
AA|"11.05.10","Woyla Barat"
BA|"11.05.11","Woyla Timur"
CA|"11.05.12","Panton Reu"
ZC|"11.06.01","Lhoong"
AD|"11.06.02","Lhoknga"
BD|"11.06.03","Indrapuri"
CD|"11.06.04","Seulimeum"
DD|"11.06.05","Montasik"
ED|"11.06.06","Sukamakmur"
FD|"11.06.07","Darul Imarah"
GD|"11.06.08","Peukan Bada"
HD|"11.06.09","Mesjid Raya"
FE|"11.06.10","Ingin Jaya"
GE|"11.06.11","Kuta Baro"
HE|"11.06.12","Darussalam"
IE|"11.06.13","Pulo Aceh"
JE|"11.06.14","Lembah Seulawah"
KE|"11.06.15","Kota Jantho"
LE|"11.06.16","Kuta Cot Glie"
ME|"11.06.17","Kuta Malaka"
NE|"11.06.18","Simpang Tiga"
OE|"11.06.19","Darul Kamal"
MF|"11.06.20","Baitussalam"
NF|"11.06.21","Krueng Barona Jaya"
OF|"11.06.22","Leupung"
PF|"11.06.23","Blang Bintang"
GH|"11.07.03","Batee"
HH|"11.07.04","Delima"
IH|"11.07.05","Geumpang"
JH|"11.07.06","Glumpang Tiga"
KH|"11.07.07","Indrajaya"
LH|"11.07.08","Kembang Tanjong"
MH|"11.07.09","Kota Sigli"
LI|"11.07.11","Mila"
MI|"11.07.12","Muara Tiga"
NI|"11.07.13","Mutiara"
OI|"11.07.14","Padang Tiji"
PI|"11.07.15","Peukan Baro"
QI|"11.07.16","Pidie"
RI|"11.07.17","Sakti"
SI|"11.07.18","Simpang Tiga"
TI|"11.07.19","Tangse"
SJ|"11.07.21","Tiro/Truseb"
TJ|"11.07.22","Keumala"
VJ|"11.07.24","Mutiara Timur"
